ID,Data_Source_Type,Dataset_Size_Raw,Dataset_Size_Category,Validation_Strategy,Data_Availability,Data_Unit,Validation_Standardized,Data_Unit_Standardized,Src_Project_Records_Tabular,Src_Site_Images_Video,Src_Simulation_Synthetic_Data,Src_Survey_Interview,Src_Text_Documents,Src_Sensor_IoT_Streams,Src_Public_Benchmark_Dataset,Src_BIM_Models,Src_Bibliometric_Literature_Data,Src_Point_Cloud_LiDAR,Src_Audio_Data,Num_Data_Sources,Val_Ablation_Study,Val_Case_Study,Val_Comparison_with_Baseline,Val_Cross_Project_Validation,Val_Cross_Validation_K_Fold_LOO,Val_Experimental_Field_Testing,Val_Expert_Judgment,Val_Explainability_Analysis_SHAP_XAI,Val_Focus_Group,Val_Not_Applicable_Review_Conceptual,Val_Qualitative_Analysis,Val_SEM_PLS_Analysis,Val_Sensitivity_Analysis,Val_Simulation,Val_Statistical_Analysis,Val_Survey_Analysis,Val_Train_Test_Split,Val_Train_Val_Test_Split,Val_Transfer_Learning,Validation_Decomposed,Num_Validation_Components
1,BIM Models; Project Records/Tabular,"30,000+ views from 400+ projects","Very Large (>50,000)",Multiple Combined (Simulation; Experimental with Users; Comparison with Baseline),Private/Proprietary,BIM Objects/Elements,Multiple Combined,BIM/Design Data,1,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,Comparison with Baseline; Experimental/Field Testing; Simulation,3
2,BIM Models; Simulation/Synthetic Data,Not quantified (design brief inputs),Not Applicable,Focus Group (5 AEC professionals),Not Stated,Design Alternatives,Focus Group,BIM/Design Data,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Focus Group,1
3,Project Records/Tabular,96 projects (115 after preprocessing),Small (<500),Comparison with Baseline Models,Private/Proprietary,Projects,Comparison with Baseline,Structured Records,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Comparison with Baseline,1
4,Project Records/Tabular,75 projects,Small (<500),Train-Val-Test Split (60/5/10),Private/Proprietary,Projects,Train-Val-Test Split,Structured Records,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Train-Val-Test Split,1
5,Project Records/Tabular,163 buildings,Small (<500),"Comparison with Baseline Models (regression, CBR, GA)",Private/Proprietary,Projects,Comparison with Baseline,Structured Records,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Comparison with Baseline,1
6,Sensor/IoT Streams; Site Images/Video,"10 participants, 41 activities",Small (<500),Multiple Combined (Expert Judgment by 5 ergonomists; Case Study on-site),Private/Proprietary,Sensor Readings,Multiple Combined,Sensor/Time-Series,0,1,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Case Study; Expert Judgment,2
7,Site Images/Video; Public Benchmark Dataset,"2,381 images","Medium (500-5,000)",Train-Test Split,Mixed (Public + Private),Images,Train-Test Split,Visual Data,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Train-Test Split,1
8,Site Images/Video,"1,281 images (augmented 5x)","Medium (500-5,000)",Multiple Combined (Train-Val-Test Split; Comparison with Baseline Models),Mixed (Public + Private),Images,Multiple Combined,Visual Data,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Comparison with Baseline; Train-Val-Test Split,2
9,Site Images/Video; Text Documents,Not quantified (receipt images),Not Reported,Case Study (proof-of-concept pilot),Private/Proprietary,Receipt Images,Case Study,Visual Data,0,1,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Case Study,1
10,Text Documents; Survey/Interview,54 papers reviewed; 8 risk factors,Small (<500),Multiple Combined (Expert Judgment; Comparison with Baseline Models),Not Stated,Risk Factors,Multiple Combined,Structured Records,0,0,0,1,1,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Comparison with Baseline; Expert Judgment,2
11,Simulation/Synthetic Data,"1 building model (18 walls, 50 connections)",Not Applicable,"Comparison with Baseline Models (PSO, ICA, GA)",Not Stated,Design Parameters,Comparison with Baseline,BIM/Design Data,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Comparison with Baseline,1
12,Sensor/IoT Streams,"14,387 data points across 339 parameters","Large (5,001-50,000)",Comparison with Baseline Models,Private/Proprietary,Records/Rows,Comparison with Baseline,Structured Records,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Comparison with Baseline,1
13,Text Documents,"90,000+ incident reports","Very Large (>50,000)","Comparison with Baseline Models (RF, XGBoost, SVM, stacking)",Private/Proprietary,Reports/Documents,Comparison with Baseline,Literature/Text,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Comparison with Baseline,1
14,Project Records/Tabular,"1 bridge project (5 activities, 4 units)",Not Applicable,Case Study,Not Stated,Projects,Case Study,Structured Records,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Case Study,1
15,Site Images/Video; Simulation/Synthetic Data,Video from 4 sites + synthetic VR data,Not Reported,Multiple Combined (Comparison with Baseline Models; Ablation Study),Private/Proprietary,Images,Multiple Combined,Visual Data,0,1,1,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ablation Study; Comparison with Baseline,2
16,Survey/Interview,160 projects,Small (<500),"Multiple Combined (Train-Test Split; Monte Carlo Simulation 10,000 iterations)",Private/Proprietary,Projects,Multiple Combined,Structured Records,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,Simulation; Train-Test Split,2
17,Bibliometric/Literature Data,138 papers,Small (<500),Not Applicable (Literature Review),Public,Academic Papers,Not Applicable (Review/Conceptual),Literature/Text,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Not Applicable (Review/Conceptual),1
18,Text Documents,5 building codes,Small (<500),Comparison with Baseline (silhouette method),Public,Code Concepts/Properties,Comparison with Baseline,Literature/Text,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Comparison with Baseline,1
19,Site Images/Video; BIM Models; Sensor/IoT Streams,"2,026 training images","Medium (500-5,000)",Case Study,Private/Proprietary,Images,Case Study,Visual Data,0,1,0,0,0,1,0,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Case Study,1
20,Text Documents; Project Records/Tabular,340 litigation entries,Small (<500),Train-Test Split,Public,Records/Rows,Train-Test Split,Structured Records,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Train-Test Split,1
21,Project Records/Tabular,106 experimental test results,Small (<500),Multiple Combined (K-Fold CV; Comparison with Baseline Models),Public,Experimental Specimens,Multiple Combined,Structured Records,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Comparison with Baseline; Cross-Validation (K-Fold/LOO),2
22,Project Records/Tabular,372 instances + 225 periods (10 projects),Small (<500),Multiple Combined (K-Fold CV; Comparison with Baseline Models),Not Stated,Projects,Multiple Combined,Structured Records,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Comparison with Baseline; Cross-Validation (K-Fold/LOO),2
23,Project Records/Tabular,52 projects,Small (<500),Train-Test Split,Private/Proprietary,Projects,Train-Test Split,Structured Records,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Train-Test Split,1
24,Project Records/Tabular,11 projects (226 periods),Small (<500),Multiple Combined (K-Fold CV; Comparison with Baseline Models),Not Stated,Projects,Multiple Combined,Structured Records,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Comparison with Baseline; Cross-Validation (K-Fold/LOO),2
25,Text Documents; Public Benchmark Dataset,"1,000 accident narratives","Medium (500-5,000)","Comparison with Baseline Models (SVM, LSTM, DT, KNN)",Public,Reports/Documents,Comparison with Baseline,Literature/Text,0,0,0,0,1,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Comparison with Baseline,1
26,Project Records/Tabular,120 months of time-series data,Small (<500),Multiple Combined (Train-Test Split; Comparison with 8 Baseline Models),Public,Time-Series Data Points,Multiple Combined,Sensor/Time-Series,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Comparison with Baseline; Train-Test Split,2
27,Project Records/Tabular,98 bridge projects + 9 validation cases,Small (<500),Multiple Combined (K-Fold CV; Holdout Test Set; Comparison with Baseline Models),Public,Projects,Multiple Combined,Structured Records,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Comparison with Baseline; Cross-Validation (K-Fold/LOO); Train-Val-Test Split,3
28,Project Records/Tabular; Survey/Interview,25 construction sites,Small (<500),Comparison with Baseline Models,Private/Proprietary,Projects,Comparison with Baseline,Structured Records,1,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Comparison with Baseline,1
29,Site Images/Video; Simulation/Synthetic Data; Public Benchmark Dataset,"43,000 worker instances (synthetic) + 43,000 real training instances","Large (5,001-50,000)",Multiple Combined (Comparison with Baseline Models; Ablation Study),Mixed (Public + Private),Images,Multiple Combined,Visual Data,0,1,1,0,0,0,1,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ablation Study; Comparison with Baseline,2
30,BIM Models; Text Documents,Not quantified (IFC files),Not Applicable,Case Study,Not Stated,BIM Objects/Elements,Case Study,BIM/Design Data,0,0,0,0,1,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Case Study,1
31,Simulation/Synthetic Data,"300,000 synthetic images","Very Large (>50,000)",Comparison with Baseline Models,Not Stated,Images,Comparison with Baseline,Visual Data,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Comparison with Baseline,1
32,Survey/Interview,167 project responses,Small (<500),SEM Analysis,Private/Proprietary,Survey Responses,SEM/PLS Analysis,Survey/Interview Data,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,SEM/PLS Analysis,1
33,Sensor/IoT Streams; Site Images/Video; Point Cloud/LiDAR,Not quantified,Not Reported,Case Study (2 firms in Beijing),Private/Proprietary,Sensor Readings,Case Study,Sensor/Time-Series,0,1,0,0,0,1,0,0,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Case Study,1
34,BIM Models; Site Images/Video,1 building project (30 tests per interaction type),Not Applicable,Multiple Combined (Case Study; Expert Judgment; Comparison with Baseline),Private/Proprietary,BIM Objects/Elements,Multiple Combined,BIM/Design Data,0,1,0,0,0,0,0,1,0,0,0,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Case Study; Comparison with Baseline; Expert Judgment,3
35,Site Images/Video; Project Records/Tabular,"900 images (augmented to 10,000)","Large (5,001-50,000)",Multiple Combined (Case Study with 30 participants; Train-Test Split),Mixed (Public + Private),Images,Multiple Combined,Visual Data,1,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Case Study; Train-Test Split,2
36,Audio Data; Simulation/Synthetic Data,"9,600 seconds of audio (5,400 abnormal + 4,200 normal)",Not Applicable,Multiple Combined (Train-Test Split; Field Experiment),Mixed (Public + Private),Audio Samples,Multiple Combined,Sensor/Time-Series,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Experimental/Field Testing; Train-Test Split,2
37,Simulation/Synthetic Data; Sensor/IoT Streams,"50,000 synthetic records","Large (5,001-50,000)",Case Study (prototype validation),Private/Proprietary,Records/Rows,Case Study,Structured Records,0,0,1,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Case Study,1
38,Survey/Interview,600 survey responses,"Medium (500-5,000)",SEM Analysis (CFA + path analysis),Private/Proprietary,Survey Responses,SEM/PLS Analysis,Survey/Interview Data,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,SEM/PLS Analysis,1
39,Project Records/Tabular,Not quantified (two databases),Not Reported,Train-Test Split,Not Stated,Records/Rows,Train-Test Split,Structured Records,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Train-Test Split,1
40,Bibliometric/Literature Data,181 articles,Small (<500),Not Applicable (Literature Review),Public,Academic Papers,Not Applicable (Review/Conceptual),Literature/Text,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Not Applicable (Review/Conceptual),1
41,Simulation/Synthetic Data,Hypothetical designs (not quantified),Not Applicable,Case Study (hypothetical scenarios),Not Stated,Design Alternatives,Case Study,BIM/Design Data,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Case Study,1
42,Project Records/Tabular,289 test records,Small (<500),Multiple Combined (Train-Test Split; Comparison with Baseline Models; SHAP analysis),Public,Experimental Specimens,Multiple Combined,Structured Records,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,Comparison with Baseline; Explainability Analysis (SHAP/XAI); Train-Test Split,3
43,Project Records/Tabular,"1,244 projects","Medium (500-5,000)",Simulation (900 experiments),Public,Projects,Simulation,Structured Records,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Simulation,1
44,Project Records/Tabular,"1,244 projects","Medium (500-5,000)",Simulation,Public,Projects,Simulation,Structured Records,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Simulation,1
45,Project Records/Tabular,168 slope cases,Small (<500),K-Fold CV (5-fold with AUC),Public,Cases,K-Fold Cross-Validation,Structured Records,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cross-Validation (K-Fold/LOO),1
46,Text Documents; Public Benchmark Dataset,"11,513 accident reports","Large (5,001-50,000)",Case Study,Public,Reports/Documents,Case Study,Literature/Text,0,0,0,0,1,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Case Study,1
47,Text Documents,"17,665 activities from 27 schedules","Large (5,001-50,000)","Comparison with Baseline Models (LSA, LDA, word2vec, fastText)",Private/Proprietary,Activities,Comparison with Baseline,Structured Records,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Comparison with Baseline,1
48,Site Images/Video; Simulation/Synthetic Data,"150,000 synthetic + 15,000 real images","Very Large (>50,000)",Multiple Combined (Train-Test Split; Comparison with Baseline Models),Mixed (Public + Private),Images,Multiple Combined,Visual Data,0,1,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Comparison with Baseline; Train-Test Split,2
49,Survey/Interview,52 participants,Small (<500),Pre-Post Experimental Design,Private/Proprietary,Survey Responses,Experimental Design,Survey/Interview Data,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Experimental/Field Testing,1
50,Survey/Interview,349 respondents,Small (<500),"Survey Analysis (Spearman, Kendall)",Private/Proprietary,Survey Responses,Survey Analysis,Survey/Interview Data,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Survey Analysis,1
51,Text Documents,42 articles; 142 risks; 369 risk factors,Small (<500),Multiple Combined (Expert Judgment by 8 experts; Case Study),Mixed (Public + Private),Risk Factors,Multiple Combined,Structured Records,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Case Study; Expert Judgment,2
52,Text Documents,592 work items,"Medium (500-5,000)",Multiple Combined (Case Study; Comparison with Expert QS assignments),Private/Proprietary,Text Descriptions,Multiple Combined,Literature/Text,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Case Study; Comparison with Baseline,2
53,Survey/Interview,65 respondents,Small (<500),"Survey Analysis (chi-square, Fisher, t-tests)",Private/Proprietary,Survey Responses,Survey Analysis,Survey/Interview Data,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Survey Analysis,1
54,Bibliometric/Literature Data,"13,533 papers","Large (5,001-50,000)",Not Applicable (Literature Review),Public,Academic Papers,Not Applicable (Review/Conceptual),Literature/Text,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Not Applicable (Review/Conceptual),1
55,Site Images/Video,392 images (360 + 32),Small (<500),Multiple Combined (Case Study; Comparison with Baseline Models),Private/Proprietary,Images,Multiple Combined,Visual Data,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Case Study; Comparison with Baseline,2
56,Bibliometric/Literature Data,95 documents reviewed (28 final),Small (<500),Not Applicable (Literature Review),Public,Academic Papers,Not Applicable (Review/Conceptual),Literature/Text,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Not Applicable (Review/Conceptual),1
57,Project Records/Tabular; Simulation/Synthetic Data,Not quantified (design parameters),Not Applicable,Multiple Combined (Case Study; Comparison with Published Benchmarks),Not Stated,Design Parameters,Multiple Combined,BIM/Design Data,1,0,1,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Case Study; Comparison with Baseline,2
58,Survey/Interview,30 participants,Small (<500),Experimental Design,Private/Proprietary,Survey Responses,Experimental Design,Survey/Interview Data,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Experimental/Field Testing,1
59,Site Images/Video,240 images,Small (<500),Train-Test Split (70/30),Private/Proprietary,Images,Train-Test Split,Visual Data,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Train-Test Split,1
60,Project Records/Tabular; Survey/Interview,"2,527 NCRs from 59 projects","Medium (500-5,000)",Multiple Combined (Expert Judgment via Delphi; Statistical Analysis),Private/Proprietary,Reports/Documents,Multiple Combined,Literature/Text,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,Expert Judgment; Statistical Analysis,2
61,Survey/Interview,308 respondents,Small (<500),SEM Analysis (CFA + moderated mediation),Private/Proprietary,Survey Responses,SEM/PLS Analysis,Survey/Interview Data,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,SEM/PLS Analysis,1
62,Not Applicable (Theoretical),Not Applicable,Not Applicable,Not Applicable (Theoretical/Conceptual),Not Applicable,Not Applicable,Not Applicable (Review/Conceptual),Not Applicable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Not Applicable (Review/Conceptual),1
63,Site Images/Video; Public Benchmark Dataset,"37,170+ test instances across 3 datasets","Large (5,001-50,000)",Comparison with Baseline Models (3 baselines),Public,Images,Comparison with Baseline,Visual Data,0,1,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Comparison with Baseline,1
64,Site Images/Video; Public Benchmark Dataset; Simulation/Synthetic Data,"11,620 images","Large (5,001-50,000)","Comparison with Baseline Models (VGG16-SSD, EfficientDet, YOLOv5, etc.)",Mixed (Public + Private),Images,Comparison with Baseline,Visual Data,0,1,1,0,0,0,1,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Comparison with Baseline,1
65,Text Documents; Simulation/Synthetic Data; Site Images/Video; Public Benchmark Dataset,"703 reports; 5,400 synthetic images; 4,041 annotated","Large (5,001-50,000)",Multiple Combined (Train-Test Split; Comparison with Baseline),Mixed (Public + Private),Images,Multiple Combined,Visual Data,0,1,1,0,1,0,1,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Comparison with Baseline; Train-Test Split,2
66,Project Records/Tabular,120 building projects,Small (<500),Train-Val-Test Split (66/17/17),Private/Proprietary,Projects,Train-Val-Test Split,Structured Records,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Train-Val-Test Split,1
67,Site Images/Video; Public Benchmark Dataset,"376,006 frames + 24,264 images","Very Large (>50,000)",Comparison with Baseline Models,Mixed (Public + Private),Video Frames,Comparison with Baseline,Visual Data,0,1,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Comparison with Baseline,1
68,Project Records/Tabular,76 patterns (61 training + 15 test) from 15 subcontractors,Small (<500),Multiple Combined (Train-Test Split; Case Study),Private/Proprietary,Records/Rows,Multiple Combined,Structured Records,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Case Study; Train-Test Split,2
69,Site Images/Video; Sensor/IoT Streams,Not quantified (streaming data),Not Reported,Case Study (construction site deployment),Private/Proprietary,Video Frames,Case Study,Visual Data,0,1,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Case Study,1
70,Survey/Interview,9 interviews + 1 GPT-4 interview,Small (<500),Thematic Analysis (NVivo),Private/Proprietary,Interview Transcripts,Qualitative Analysis,Survey/Interview Data,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Qualitative Analysis,1
71,Site Images/Video,Not quantified (CCTV video streams),Not Reported,Case Study (mobile scaffolding),Private/Proprietary,Images,Case Study,Visual Data,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Case Study,1
72,BIM Models; Sensor/IoT Streams,Not quantified (BIM + BAS operational data),Not Reported,Case Study,Private/Proprietary,BIM Objects/Elements,Case Study,BIM/Design Data,0,0,0,0,0,1,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Case Study,1
73,Site Images/Video; Simulation/Synthetic Data,"200 real + 2,700 synthetic images","Medium (500-5,000)",Multiple Combined (Train-Test Split; Comparison with Baseline Models),Mixed (Public + Private),Images,Multiple Combined,Visual Data,0,1,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Comparison with Baseline; Train-Test Split,2
74,BIM Models,1 building model (28-story residential),Not Applicable,Multiple Combined (Case Study; Survey of OSC practitioners),Not Stated,BIM Objects/Elements,Multiple Combined,BIM/Design Data,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Case Study; Survey Analysis,2
