ID,AI Model,Methodology,Goal
1,"Traditional ML for Prediction (Random Forest, XGBoost and SVMs)",Language & Knowledge Systems (NLP and knowledge graphs for extracting and formally representing construction domain knowledge),Performance & Efficiency
2,Optimization for Design (Genetic Algorithms and Reinforcement Learning),"Advanced & Hybrid Architectures (Hybrid, reinforcement learning, and explainable AI approaches that go beyond standard supervised learning)",Decision Intelligence
3,Hybrid Approaches (Fuzzy-neural combinations),"Advanced & Hybrid Architectures (Hybrid, reinforcement learning, and explainable AI approaches that go beyond standard supervised learning)",Performance & Efficiency
4,"Traditional ML for Prediction (Random Forest, XGBoost and SVMs)","Advanced & Hybrid Architectures (Hybrid, reinforcement learning, and explainable AI approaches that go beyond standard supervised learning)",Trust & Transparency
5,"Traditional ML for Prediction (Random Forest, XGBoost and SVMs)","Structured Prediction & Analytics (Classical ML on tabular project data, ensemble models, and optimization algorithms for engineering decisions)",Performance & Efficiency
6,No Specific AI Model / Review Studies,"Advanced & Hybrid Architectures (Hybrid, reinforcement learning, and explainable AI approaches that go beyond standard supervised learning)",Performance & Efficiency
7,Deep Learning for Visual Recognition (YOLO and CNN),"Perception & Vision AI (Visual data methods — CNNs, transfer learning, synthetic image generation, and simulation-based training)",Trust & Transparency
8,Deep Learning for Visual Recognition (YOLO and CNN),"Perception & Vision AI (Visual data methods — CNNs, transfer learning, synthetic image generation, and simulation-based training)",Performance & Efficiency
9,NLP for Documents (GPT-4 and BERT),Language & Knowledge Systems (NLP and knowledge graphs for extracting and formally representing construction domain knowledge),Integration & Scalability
10,Hybrid Approaches (Fuzzy-neural combinations),"Advanced & Hybrid Architectures (Hybrid, reinforcement learning, and explainable AI approaches that go beyond standard supervised learning)",Trust & Transparency
11,Optimization for Design (Genetic Algorithms and Reinforcement Learning),"Structured Prediction & Analytics (Classical ML on tabular project data, ensemble models, and optimization algorithms for engineering decisions)",Decision Intelligence
12,"Traditional ML for Prediction (Random Forest, XGBoost and SVMs)","Structured Prediction & Analytics (Classical ML on tabular project data, ensemble models, and optimization algorithms for engineering decisions)",Integration & Scalability
13,"Traditional ML for Prediction (Random Forest, XGBoost and SVMs)",Language & Knowledge Systems (NLP and knowledge graphs for extracting and formally representing construction domain knowledge),"Safety, Sustainability & Compliance"
14,Hybrid Approaches (Fuzzy-neural combinations),"Advanced & Hybrid Architectures (Hybrid, reinforcement learning, and explainable AI approaches that go beyond standard supervised learning)",Decision Intelligence
15,Deep Learning for Visual Recognition (YOLO and CNN),"Perception & Vision AI (Visual data methods — CNNs, transfer learning, synthetic image generation, and simulation-based training)",Data & Knowledge Infrastructure
16,"Traditional ML for Prediction (Random Forest, XGBoost and SVMs)","Structured Prediction & Analytics (Classical ML on tabular project data, ensemble models, and optimization algorithms for engineering decisions)",Decision Intelligence
17,No Specific AI Model / Review Studies,Research Methods & Validation (Meta-level studies validating AI outputs against experts or synthesizing the state of the field),Data & Knowledge Infrastructure
18,"Traditional ML for Prediction (Random Forest, XGBoost and SVMs)",Language & Knowledge Systems (NLP and knowledge graphs for extracting and formally representing construction domain knowledge),Integration & Scalability
19,Deep Learning for Visual Recognition (YOLO and CNN),"Perception & Vision AI (Visual data methods — CNNs, transfer learning, synthetic image generation, and simulation-based training)",Integration & Scalability
20,"Traditional ML for Prediction (Random Forest, XGBoost and SVMs)","Advanced & Hybrid Architectures (Hybrid, reinforcement learning, and explainable AI approaches that go beyond standard supervised learning)",Decision Intelligence
21,Optimization for Design (Genetic Algorithms and Reinforcement Learning),"Advanced & Hybrid Architectures (Hybrid, reinforcement learning, and explainable AI approaches that go beyond standard supervised learning)",Performance & Efficiency
22,"Traditional ML for Prediction (Random Forest, XGBoost and SVMs)","Advanced & Hybrid Architectures (Hybrid, reinforcement learning, and explainable AI approaches that go beyond standard supervised learning)",Performance & Efficiency
23,Hybrid Approaches (Fuzzy-neural combinations),"Advanced & Hybrid Architectures (Hybrid, reinforcement learning, and explainable AI approaches that go beyond standard supervised learning)",Decision Intelligence
24,Sensor/IoT Integration (LSTM and GRU),"Advanced & Hybrid Architectures (Hybrid, reinforcement learning, and explainable AI approaches that go beyond standard supervised learning)",Decision Intelligence
25,Sensor/IoT Integration (LSTM and GRU),"Advanced & Hybrid Architectures (Hybrid, reinforcement learning, and explainable AI approaches that go beyond standard supervised learning)","Safety, Sustainability & Compliance"
26,Sensor/IoT Integration (LSTM and GRU),"Advanced & Hybrid Architectures (Hybrid, reinforcement learning, and explainable AI approaches that go beyond standard supervised learning)",Decision Intelligence
27,"Traditional ML for Prediction (Random Forest, XGBoost and SVMs)","Structured Prediction & Analytics (Classical ML on tabular project data, ensemble models, and optimization algorithms for engineering decisions)",Decision Intelligence
28,Hybrid Approaches (Fuzzy-neural combinations),"Advanced & Hybrid Architectures (Hybrid, reinforcement learning, and explainable AI approaches that go beyond standard supervised learning)","Safety, Sustainability & Compliance"
29,Generative AI Emergence (Stable Diffusion and GANs),"Perception & Vision AI (Visual data methods — CNNs, transfer learning, synthetic image generation, and simulation-based training)",Data & Knowledge Infrastructure
30,NLP for Documents (GPT-4 and BERT),Language & Knowledge Systems (NLP and knowledge graphs for extracting and formally representing construction domain knowledge),Performance & Efficiency
31,Deep Learning for Visual Recognition (YOLO and CNN),"Perception & Vision AI (Visual data methods — CNNs, transfer learning, synthetic image generation, and simulation-based training)",Data & Knowledge Infrastructure
32,No Specific AI Model / Review Studies,Research Methods & Validation (Meta-level studies validating AI outputs against experts or synthesizing the state of the field),"Safety, Sustainability & Compliance"
33,Deep Learning for Visual Recognition (YOLO and CNN),"Perception & Vision AI (Visual data methods — CNNs, transfer learning, synthetic image generation, and simulation-based training)",Integration & Scalability
34,NLP for Documents (GPT-4 and BERT),Language & Knowledge Systems (NLP and knowledge graphs for extracting and formally representing construction domain knowledge),Decision Intelligence
35,Deep Learning for Visual Recognition (YOLO and CNN),"Perception & Vision AI (Visual data methods — CNNs, transfer learning, synthetic image generation, and simulation-based training)",Decision Intelligence
36,Deep Learning for Visual Recognition (YOLO and CNN),"Perception & Vision AI (Visual data methods — CNNs, transfer learning, synthetic image generation, and simulation-based training)","Safety, Sustainability & Compliance"
37,"Traditional ML for Prediction (Random Forest, XGBoost and SVMs)","Structured Prediction & Analytics (Classical ML on tabular project data, ensemble models, and optimization algorithms for engineering decisions)",Integration & Scalability
38,No Specific AI Model / Review Studies,Research Methods & Validation (Meta-level studies validating AI outputs against experts or synthesizing the state of the field),Trust & Transparency
39,"Traditional ML for Prediction (Random Forest, XGBoost and SVMs)",Language & Knowledge Systems (NLP and knowledge graphs for extracting and formally representing construction domain knowledge),Integration & Scalability
40,No Specific AI Model / Review Studies,Research Methods & Validation (Meta-level studies validating AI outputs against experts or synthesizing the state of the field),Decision Intelligence
41,Optimization for Design (Genetic Algorithms and Reinforcement Learning),"Structured Prediction & Analytics (Classical ML on tabular project data, ensemble models, and optimization algorithms for engineering decisions)","Safety, Sustainability & Compliance"
42,"Traditional ML for Prediction (Random Forest, XGBoost and SVMs)","Structured Prediction & Analytics (Classical ML on tabular project data, ensemble models, and optimization algorithms for engineering decisions)",Trust & Transparency
43,Optimization for Design (Genetic Algorithms and Reinforcement Learning),"Advanced & Hybrid Architectures (Hybrid, reinforcement learning, and explainable AI approaches that go beyond standard supervised learning)",Decision Intelligence
44,Optimization for Design (Genetic Algorithms and Reinforcement Learning),"Advanced & Hybrid Architectures (Hybrid, reinforcement learning, and explainable AI approaches that go beyond standard supervised learning)",Decision Intelligence
45,Optimization for Design (Genetic Algorithms and Reinforcement Learning),"Advanced & Hybrid Architectures (Hybrid, reinforcement learning, and explainable AI approaches that go beyond standard supervised learning)","Safety, Sustainability & Compliance"
46,NLP for Documents (GPT-4 and BERT),Language & Knowledge Systems (NLP and knowledge graphs for extracting and formally representing construction domain knowledge),"Safety, Sustainability & Compliance"
47,NLP for Documents (GPT-4 and BERT),Language & Knowledge Systems (NLP and knowledge graphs for extracting and formally representing construction domain knowledge),Integration & Scalability
48,Generative AI Emergence (Stable Diffusion and GANs),"Perception & Vision AI (Visual data methods — CNNs, transfer learning, synthetic image generation, and simulation-based training)",Data & Knowledge Infrastructure
49,NLP for Documents (GPT-4 and BERT),Language & Knowledge Systems (NLP and knowledge graphs for extracting and formally representing construction domain knowledge),"Safety, Sustainability & Compliance"
50,No Specific AI Model / Review Studies,Research Methods & Validation (Meta-level studies validating AI outputs against experts or synthesizing the state of the field),Trust & Transparency
51,NLP for Documents (GPT-4 and BERT),Language & Knowledge Systems (NLP and knowledge graphs for extracting and formally representing construction domain knowledge),Decision Intelligence
52,NLP for Documents (GPT-4 and BERT),Language & Knowledge Systems (NLP and knowledge graphs for extracting and formally representing construction domain knowledge),Performance & Efficiency
53,No Specific AI Model / Review Studies,Research Methods & Validation (Meta-level studies validating AI outputs against experts or synthesizing the state of the field),Data & Knowledge Infrastructure
54,No Specific AI Model / Review Studies,Research Methods & Validation (Meta-level studies validating AI outputs against experts or synthesizing the state of the field),Integration & Scalability
55,Deep Learning for Visual Recognition (YOLO and CNN),"Perception & Vision AI (Visual data methods — CNNs, transfer learning, synthetic image generation, and simulation-based training)","Safety, Sustainability & Compliance"
56,No Specific AI Model / Review Studies,Research Methods & Validation (Meta-level studies validating AI outputs against experts or synthesizing the state of the field),Data & Knowledge Infrastructure
57,Optimization for Design (Genetic Algorithms and Reinforcement Learning),"Structured Prediction & Analytics (Classical ML on tabular project data, ensemble models, and optimization algorithms for engineering decisions)","Safety, Sustainability & Compliance"
58,Optimization for Design (Genetic Algorithms and Reinforcement Learning),"Advanced & Hybrid Architectures (Hybrid, reinforcement learning, and explainable AI approaches that go beyond standard supervised learning)",Decision Intelligence
59,Deep Learning for Visual Recognition (YOLO and CNN),"Perception & Vision AI (Visual data methods — CNNs, transfer learning, synthetic image generation, and simulation-based training)",Performance & Efficiency
60,"Traditional ML for Prediction (Random Forest, XGBoost and SVMs)","Structured Prediction & Analytics (Classical ML on tabular project data, ensemble models, and optimization algorithms for engineering decisions)",Data & Knowledge Infrastructure
61,No Specific AI Model / Review Studies,Research Methods & Validation (Meta-level studies validating AI outputs against experts or synthesizing the state of the field),"Safety, Sustainability & Compliance"
62,"Traditional ML for Prediction (Random Forest, XGBoost and SVMs)","Advanced & Hybrid Architectures (Hybrid, reinforcement learning, and explainable AI approaches that go beyond standard supervised learning)",Performance & Efficiency
63,Deep Learning for Visual Recognition (YOLO and CNN),"Perception & Vision AI (Visual data methods — CNNs, transfer learning, synthetic image generation, and simulation-based training)",Performance & Efficiency
64,Deep Learning for Visual Recognition (YOLO and CNN),"Perception & Vision AI (Visual data methods — CNNs, transfer learning, synthetic image generation, and simulation-based training)","Safety, Sustainability & Compliance"
65,Generative AI Emergence (Stable Diffusion and GANs),"Perception & Vision AI (Visual data methods — CNNs, transfer learning, synthetic image generation, and simulation-based training)","Safety, Sustainability & Compliance"
66,"Traditional ML for Prediction (Random Forest, XGBoost and SVMs)","Structured Prediction & Analytics (Classical ML on tabular project data, ensemble models, and optimization algorithms for engineering decisions)",Decision Intelligence
67,Deep Learning for Visual Recognition (YOLO and CNN),"Perception & Vision AI (Visual data methods — CNNs, transfer learning, synthetic image generation, and simulation-based training)","Safety, Sustainability & Compliance"
68,Hybrid Approaches (Fuzzy-neural combinations),"Advanced & Hybrid Architectures (Hybrid, reinforcement learning, and explainable AI approaches that go beyond standard supervised learning)",Trust & Transparency
69,Deep Learning for Visual Recognition (YOLO and CNN),"Perception & Vision AI (Visual data methods — CNNs, transfer learning, synthetic image generation, and simulation-based training)",Integration & Scalability
70,NLP for Documents (GPT-4 and BERT),Language & Knowledge Systems (NLP and knowledge graphs for extracting and formally representing construction domain knowledge),"Safety, Sustainability & Compliance"
71,Deep Learning for Visual Recognition (YOLO and CNN),"Advanced & Hybrid Architectures (Hybrid, reinforcement learning, and explainable AI approaches that go beyond standard supervised learning)","Safety, Sustainability & Compliance"
72,NLP for Documents (GPT-4 and BERT),"Advanced & Hybrid Architectures (Hybrid, reinforcement learning, and explainable AI approaches that go beyond standard supervised learning)",Integration & Scalability
73,Generative AI Emergence (Stable Diffusion and GANs),"Perception & Vision AI (Visual data methods — CNNs, transfer learning, synthetic image generation, and simulation-based training)",Data & Knowledge Infrastructure
74,No Specific AI Model / Review Studies,Language & Knowledge Systems (NLP and knowledge graphs for extracting and formally representing construction domain knowledge),Performance & Efficiency
75,Graph-Based BIM (GNNs),Language & Knowledge Systems (NLP and knowledge graphs for extracting and formally representing construction domain knowledge),Data & Knowledge Infrastructure
76,Generative AI Emergence (Stable Diffusion and GANs),"Perception & Vision AI (Visual data methods — CNNs, transfer learning, synthetic image generation, and simulation-based training)",Decision Intelligence
77,Graph-Based BIM (GNNs),Language & Knowledge Systems (NLP and knowledge graphs for extracting and formally representing construction domain knowledge),Decision Intelligence
78,NLP for Documents (GPT-4 and BERT),"Advanced & Hybrid Architectures (Hybrid, reinforcement learning, and explainable AI approaches that go beyond standard supervised learning)",Data & Knowledge Infrastructure
79,No Specific AI Model / Review Studies,Research Methods & Validation (Meta-level studies validating AI outputs against experts or synthesizing the state of the field),Trust & Transparency
80,No Specific AI Model / Review Studies,Research Methods & Validation (Meta-level studies validating AI outputs against experts or synthesizing the state of the field),Trust & Transparency
81,No Specific AI Model / Review Studies,Research Methods & Validation (Meta-level studies validating AI outputs against experts or synthesizing the state of the field),Trust & Transparency
82,No Specific AI Model / Review Studies,"Advanced & Hybrid Architectures (Hybrid, reinforcement learning, and explainable AI approaches that go beyond standard supervised learning)",Integration & Scalability
83,Optimization for Design (Genetic Algorithms and Reinforcement Learning),"Advanced & Hybrid Architectures (Hybrid, reinforcement learning, and explainable AI approaches that go beyond standard supervised learning)",Integration & Scalability
84,Optimization for Design (Genetic Algorithms and Reinforcement Learning),"Advanced & Hybrid Architectures (Hybrid, reinforcement learning, and explainable AI approaches that go beyond standard supervised learning)",Integration & Scalability
85,"Traditional ML for Prediction (Random Forest, XGBoost and SVMs)","Advanced & Hybrid Architectures (Hybrid, reinforcement learning, and explainable AI approaches that go beyond standard supervised learning)",Trust & Transparency
86,No Specific AI Model / Review Studies,Research Methods & Validation (Meta-level studies validating AI outputs against experts or synthesizing the state of the field),Data & Knowledge Infrastructure
87,NLP for Documents (GPT-4 and BERT),"Advanced & Hybrid Architectures (Hybrid, reinforcement learning, and explainable AI approaches that go beyond standard supervised learning)",Decision Intelligence
88,No Specific AI Model / Review Studies,Research Methods & Validation (Meta-level studies validating AI outputs against experts or synthesizing the state of the field),Integration & Scalability
89,Deep Learning for Visual Recognition (YOLO and CNN),"Perception & Vision AI (Visual data methods — CNNs, transfer learning, synthetic image generation, and simulation-based training)","Safety, Sustainability & Compliance"
90,Deep Learning for Visual Recognition (YOLO and CNN),"Advanced & Hybrid Architectures (Hybrid, reinforcement learning, and explainable AI approaches that go beyond standard supervised learning)",Integration & Scalability
91,NLP for Documents (GPT-4 and BERT),Language & Knowledge Systems (NLP and knowledge graphs for extracting and formally representing construction domain knowledge),Decision Intelligence
92,Deep Learning for Visual Recognition (YOLO and CNN),"Perception & Vision AI (Visual data methods — CNNs, transfer learning, synthetic image generation, and simulation-based training)",Integration & Scalability
93,NLP for Documents (GPT-4 and BERT),Language & Knowledge Systems (NLP and knowledge graphs for extracting and formally representing construction domain knowledge),"Safety, Sustainability & Compliance"
94,"Traditional ML for Prediction (Random Forest, XGBoost and SVMs)","Advanced & Hybrid Architectures (Hybrid, reinforcement learning, and explainable AI approaches that go beyond standard supervised learning)","Safety, Sustainability & Compliance"
95,"Traditional ML for Prediction (Random Forest, XGBoost and SVMs)","Advanced & Hybrid Architectures (Hybrid, reinforcement learning, and explainable AI approaches that go beyond standard supervised learning)",Trust & Transparency
96,Optimization for Design (Genetic Algorithms and Reinforcement Learning),"Advanced & Hybrid Architectures (Hybrid, reinforcement learning, and explainable AI approaches that go beyond standard supervised learning)",Integration & Scalability
97,"Traditional ML for Prediction (Random Forest, XGBoost and SVMs)","Structured Prediction & Analytics (Classical ML on tabular project data, ensemble models, and optimization algorithms for engineering decisions)",Decision Intelligence
98,NLP for Documents (GPT-4 and BERT),Language & Knowledge Systems (NLP and knowledge graphs for extracting and formally representing construction domain knowledge),Decision Intelligence
99,Deep Learning for Visual Recognition (YOLO and CNN),"Perception & Vision AI (Visual data methods — CNNs, transfer learning, synthetic image generation, and simulation-based training)",Data & Knowledge Infrastructure
100,No Specific AI Model / Review Studies,Research Methods & Validation (Meta-level studies validating AI outputs against experts or synthesizing the state of the field),Performance & Efficiency
101,NLP for Documents (GPT-4 and BERT),Language & Knowledge Systems (NLP and knowledge graphs for extracting and formally representing construction domain knowledge),"Safety, Sustainability & Compliance"
102,"Traditional ML for Prediction (Random Forest, XGBoost and SVMs)","Structured Prediction & Analytics (Classical ML on tabular project data, ensemble models, and optimization algorithms for engineering decisions)",Decision Intelligence
103,No Specific AI Model / Review Studies,"Advanced & Hybrid Architectures (Hybrid, reinforcement learning, and explainable AI approaches that go beyond standard supervised learning)",Integration & Scalability
104,Deep Learning for Visual Recognition (YOLO and CNN),"Perception & Vision AI (Visual data methods — CNNs, transfer learning, synthetic image generation, and simulation-based training)",Performance & Efficiency
105,No Specific AI Model / Review Studies,Research Methods & Validation (Meta-level studies validating AI outputs against experts or synthesizing the state of the field),Integration & Scalability
106,Hybrid Approaches (Fuzzy-neural combinations),"Advanced & Hybrid Architectures (Hybrid, reinforcement learning, and explainable AI approaches that go beyond standard supervised learning)",Decision Intelligence
107,No Specific AI Model / Review Studies,Research Methods & Validation (Meta-level studies validating AI outputs against experts or synthesizing the state of the field),Data & Knowledge Infrastructure
108,No Specific AI Model / Review Studies,Research Methods & Validation (Meta-level studies validating AI outputs against experts or synthesizing the state of the field),Data & Knowledge Infrastructure
109,"Traditional ML for Prediction (Random Forest, XGBoost and SVMs)","Structured Prediction & Analytics (Classical ML on tabular project data, ensemble models, and optimization algorithms for engineering decisions)",Performance & Efficiency
110,NLP for Documents (GPT-4 and BERT),Language & Knowledge Systems (NLP and knowledge graphs for extracting and formally representing construction domain knowledge),"Safety, Sustainability & Compliance"
111,NLP for Documents (GPT-4 and BERT),Language & Knowledge Systems (NLP and knowledge graphs for extracting and formally representing construction domain knowledge),"Safety, Sustainability & Compliance"
112,No Specific AI Model / Review Studies,Research Methods & Validation (Meta-level studies validating AI outputs against experts or synthesizing the state of the field),Integration & Scalability
113,NLP for Documents (GPT-4 and BERT),Language & Knowledge Systems (NLP and knowledge graphs for extracting and formally representing construction domain knowledge),Decision Intelligence
114,"Traditional ML for Prediction (Random Forest, XGBoost and SVMs)","Structured Prediction & Analytics (Classical ML on tabular project data, ensemble models, and optimization algorithms for engineering decisions)",Performance & Efficiency
115,"Traditional ML for Prediction (Random Forest, XGBoost and SVMs)","Structured Prediction & Analytics (Classical ML on tabular project data, ensemble models, and optimization algorithms for engineering decisions)",Performance & Efficiency
116,Optimization for Design (Genetic Algorithms and Reinforcement Learning),"Advanced & Hybrid Architectures (Hybrid, reinforcement learning, and explainable AI approaches that go beyond standard supervised learning)",Integration & Scalability
117,Graph-Based BIM (GNNs),Language & Knowledge Systems (NLP and knowledge graphs for extracting and formally representing construction domain knowledge),Decision Intelligence
118,Deep Learning for Visual Recognition (YOLO and CNN),"Perception & Vision AI (Visual data methods — CNNs, transfer learning, synthetic image generation, and simulation-based training)",Performance & Efficiency
119,No Specific AI Model / Review Studies,Research Methods & Validation (Meta-level studies validating AI outputs against experts or synthesizing the state of the field),Integration & Scalability
120,"Traditional ML for Prediction (Random Forest, XGBoost and SVMs)","Structured Prediction & Analytics (Classical ML on tabular project data, ensemble models, and optimization algorithms for engineering decisions)",Integration & Scalability
121,"Traditional ML for Prediction (Random Forest, XGBoost and SVMs)","Structured Prediction & Analytics (Classical ML on tabular project data, ensemble models, and optimization algorithms for engineering decisions)",Integration & Scalability
122,Deep Learning for Visual Recognition (YOLO and CNN),"Perception & Vision AI (Visual data methods — CNNs, transfer learning, synthetic image generation, and simulation-based training)",Performance & Efficiency
123,NLP for Documents (GPT-4 and BERT),Language & Knowledge Systems (NLP and knowledge graphs for extracting and formally representing construction domain knowledge),"Safety, Sustainability & Compliance"
124,"Traditional ML for Prediction (Random Forest, XGBoost and SVMs)","Advanced & Hybrid Architectures (Hybrid, reinforcement learning, and explainable AI approaches that go beyond standard supervised learning)","Safety, Sustainability & Compliance"
125,NLP for Documents (GPT-4 and BERT),Language & Knowledge Systems (NLP and knowledge graphs for extracting and formally representing construction domain knowledge),Performance & Efficiency
126,Sensor/IoT Integration (LSTM and GRU),"Advanced & Hybrid Architectures (Hybrid, reinforcement learning, and explainable AI approaches that go beyond standard supervised learning)",Trust & Transparency
127,"Traditional ML for Prediction (Random Forest, XGBoost and SVMs)","Advanced & Hybrid Architectures (Hybrid, reinforcement learning, and explainable AI approaches that go beyond standard supervised learning)",Trust & Transparency
128,Deep Learning for Visual Recognition (YOLO and CNN),"Perception & Vision AI (Visual data methods — CNNs, transfer learning, synthetic image generation, and simulation-based training)",Data & Knowledge Infrastructure
129,No Specific AI Model / Review Studies,Research Methods & Validation (Meta-level studies validating AI outputs against experts or synthesizing the state of the field),Integration & Scalability
130,No Specific AI Model / Review Studies,Research Methods & Validation (Meta-level studies validating AI outputs against experts or synthesizing the state of the field),"Safety, Sustainability & Compliance"
131,No Specific AI Model / Review Studies,Research Methods & Validation (Meta-level studies validating AI outputs against experts or synthesizing the state of the field),"Safety, Sustainability & Compliance"
132,No Specific AI Model / Review Studies,Research Methods & Validation (Meta-level studies validating AI outputs against experts or synthesizing the state of the field),Data & Knowledge Infrastructure
133,No Specific AI Model / Review Studies,Research Methods & Validation (Meta-level studies validating AI outputs against experts or synthesizing the state of the field),Integration & Scalability
134,"Traditional ML for Prediction (Random Forest, XGBoost and SVMs)","Advanced & Hybrid Architectures (Hybrid, reinforcement learning, and explainable AI approaches that go beyond standard supervised learning)",Performance & Efficiency
135,NLP for Documents (GPT-4 and BERT),Language & Knowledge Systems (NLP and knowledge graphs for extracting and formally representing construction domain knowledge),Data & Knowledge Infrastructure
136,Optimization for Design (Genetic Algorithms and Reinforcement Learning),"Advanced & Hybrid Architectures (Hybrid, reinforcement learning, and explainable AI approaches that go beyond standard supervised learning)",Integration & Scalability
137,No Specific AI Model / Review Studies,Research Methods & Validation (Meta-level studies validating AI outputs against experts or synthesizing the state of the field),Data & Knowledge Infrastructure
138,Hybrid Approaches (Fuzzy-neural combinations),"Structured Prediction & Analytics (Classical ML on tabular project data, ensemble models, and optimization algorithms for engineering decisions)",Decision Intelligence
139,No Specific AI Model / Review Studies,Research Methods & Validation (Meta-level studies validating AI outputs against experts or synthesizing the state of the field),Decision Intelligence
140,Generative AI Emergence (Stable Diffusion and GANs),"Perception & Vision AI (Visual data methods — CNNs, transfer learning, synthetic image generation, and simulation-based training)",Integration & Scalability
141,Deep Learning for Visual Recognition (YOLO and CNN),"Perception & Vision AI (Visual data methods — CNNs, transfer learning, synthetic image generation, and simulation-based training)","Safety, Sustainability & Compliance"
142,Deep Learning for Visual Recognition (YOLO and CNN),"Perception & Vision AI (Visual data methods — CNNs, transfer learning, synthetic image generation, and simulation-based training)",Integration & Scalability
143,Optimization for Design (Genetic Algorithms and Reinforcement Learning),"Advanced & Hybrid Architectures (Hybrid, reinforcement learning, and explainable AI approaches that go beyond standard supervised learning)",Integration & Scalability
144,Deep Learning for Visual Recognition (YOLO and CNN),"Perception & Vision AI (Visual data methods — CNNs, transfer learning, synthetic image generation, and simulation-based training)",Performance & Efficiency
145,"Traditional ML for Prediction (Random Forest, XGBoost and SVMs)","Advanced & Hybrid Architectures (Hybrid, reinforcement learning, and explainable AI approaches that go beyond standard supervised learning)",Trust & Transparency
146,Graph-Based BIM (GNNs),Language & Knowledge Systems (NLP and knowledge graphs for extracting and formally representing construction domain knowledge),Integration & Scalability
147,No Specific AI Model / Review Studies,Language & Knowledge Systems (NLP and knowledge graphs for extracting and formally representing construction domain knowledge),Integration & Scalability
148,NLP for Documents (GPT-4 and BERT),Language & Knowledge Systems (NLP and knowledge graphs for extracting and formally representing construction domain knowledge),Integration & Scalability
